park_id,season,effect,n_pa,component,n_components
CIN07,1934,-0.004603459776960295,5139,1,2
NYC14,1934,-0.006755966127445601,4789,1,2
NYC15,1934,0.005230394545623164,4693,1,2
PHI09,1934,0.034553399493439316,3896,1,2
PIT06,1934,0.013093315960451686,5185,1,2
BOS07,1935,0.004366575911598158,5331,0,2
CHI10,1935,0.014688956180596537,4882,0,2
CLE06,1935,0.00024106574460582236,5179,0,2
DET04,1935,-0.00631640459905086,5194,0,2
NYC16,1935,-0.015506678151138978,4793,0,2
PHI11,1935,0.006229160284640837,4332,0,2
WAS09,1935,-0.0032928152725394872,4887,0,2
BOS08,1935,0.000680845200626045,5017,1,2
CHI11,1935,-0.009491918749160048,4728,1,2
CIN07,1935,-0.01795009896876443,3686,1,2
NYC14,1935,-0.00439117105420394,5133,1,2
NYC15,1935,-0.010339824007706798,4910,1,2
PHI09,1935,0.03357934437108848,4356,1,2
PIT06,1935,0.011117082371449004,4888,1,2
STL07,1935,-0.0019922496243476185,9877,1,2
BOS08,1936,-0.023688749463453538,4903,0,2
CHI11,1936,0.0054963971601351075,5323,0,2
CIN07,1936,-0.005436257202194134,4997,0,2
NYC14,1936,-0.005281559906975719,5144,0,2
NYC15,1936,-0.0022278894229897017,4609,0,2
PHI09,1936,0.0289561113369943,4747,0,2
PIT06,1936,0.0026986386792171315,5201,0,2
BOS07,1936,-0.013046455779900741,5394,1,2
CHI10,1936,-0.004019900594152766,5379,1,2
CLE06,1936,0.017593779954886098,5280,1,2
CLE07,1936,-0.09475834490724046,116,1,2
DET04,1936,0.0027399132262161878,5415,1,2
NYC16,1936,-0.010180192663710374,5358,1,2
PHI11,1936,-0.0008607075891052052,4644,1,2
STL07,1936,0.009084837807457995,10524,1,2
WAS09,1936,-0.007716948551035474,5418,1,2
BOS07,1937,0.010158422472877529,4632,0,2
CHI10,1937,0.001763322565687014,5010,0,2
CLE06,1937,0.005759901467975568,4183,0,2
CLE07,1937,-0.03420368827942094,898,0,2
DET04,1937,0.019968842270168426,4691,0,2
NYC16,1937,-0.006232095146189022,5024,0,2
PHI11,1937,-0.009254743367210602,4902,0,2
WAS09,1937,-0.012682077665631113,5225,0,2
BOS08,1937,-0.03617929100038216,3650,1,2
CHI11,1937,0.011955568595584267,5042,1,2
CIN07,1937,-0.02402342161286415,4825,1,2
NYC14,1937,-0.0019345245492396173,4574,1,2
NYC15,1937,-0.006066208289628124,4813,1,2
PHI09,1937,0.03361484277249218,4070,1,2
PIT06,1937,0.0010951385993343099,4854,1,2
STL07,1937,0.008814381393307192,9485,1,2
BOS08,1938,-0.028474574178764672,4358,0,2
