park_id,pos,season,n_first,outs,exp_outs,chances,errors,exp_errors,park_bip,park_first,conv_eff,conv_se,conv_z,coverage,err_eff,err_se,err_z,name
NYC12,8,5733,13275.0,964.0,866.0068702236363,868.0,41.0,43.59421713933194,13572.0,9507.0,-0.000376192063978098,0.003127882378454236,-0.1202705276161976,0.07858054505868516,-0.0029887294231934775,0.007606672463904304,-0.39290891482127016,Washington Park III
NYC12,9,5733,13014.0,669.0,618.8221853621319,681.0,33.0,26.614034506958674,13572.0,9507.0,-0.002375513629598272,0.0026869159145978478,-0.8841041942147329,0.07858054505868516,0.009377335525758188,0.007575446682766135,1.2378590885064618,Washington Park III
NYC13,1,5733,17920.0,215.0,159.47485733485635,1553.0,99.0,97.49365765198465,18266.0,12229.0,0.002751217386268809,0.0011111177362465663,2.4760808837078008,0.07477697278974912,0.0009699564378720873,0.0063579444086072365,0.1525581816284809,Hilltop Park
NYC13,2,5733,18107.0,650.0,585.3301758032026,4104.0,158.0,134.13934522564415,18266.0,12229.0,-0.0014526805113905042,0.0020846737425522766,-0.696838302194942,0.07477697278974912,0.005813999701353765,0.002822089214404584,2.0601757278536024,Hilltop Park
NYC13,3,5733,18013.0,5584.0,4787.884548934047,6151.0,117.0,127.01510481372424,18266.0,12229.0,0.010294957480667,0.004535905371937426,2.2696587861729807,0.07477697278974912,-0.0016282075782351221,0.0018322383055435255,-0.8886440007879441,Hilltop Park
NYC13,4,5733,17950.0,1061.0,896.8487388331185,2801.0,153.0,167.3507348120043,18266.0,12229.0,0.0031758912757365587,0.0025398552763269376,1.2504221422920747,0.07477697278974912,-0.005123432635488863,0.004618497394843805,-1.10932890017623,Hilltop Park
NYC13,5,5733,17665.0,655.0,534.9619513029043,1869.0,125.0,155.38741359468366,18266.0,12229.0,0.0037311140029637688,0.001997986670277631,1.867436884574065,0.07477697278974912,-0.01625864825825771,0.0066695820183784605,-2.4377312121593175,Hilltop Park
NYC13,6,5733,17651.0,883.0,778.1244835715679,3038.0,253.0,249.79434003540808,18266.0,12229.0,-0.00036163427523266956,0.0023802630940278464,-0.1519303795198191,0.07477697278974912,0.0010551876117814076,0.005202397440308638,0.2028271818692129,Hilltop Park
NYC13,7,5733,17656.0,1008.0,945.5266309718676,994.0,37.0,49.19700149762921,18266.0,12229.0,-0.005832924617139926,0.0026012966069377925,-2.242314314170562,0.07477697278974912,-0.012270625249123953,0.007056395795239938,-1.7389366477148855,Hilltop Park
NYC13,8,5733,18031.0,1181.0,1113.6020544672015,1136.0,56.0,55.078699013547165,18266.0,12229.0,-0.007382902307361119,0.0027982679048159987,-2.6383829420530716,0.07477697278974912,0.000811004389483129,0.0065330127436856135,0.12413941642269001,Hilltop Park
NYC13,9,5733,18086.0,808.0,760.5356748947925,794.0,42.0,46.21393776013123,18266.0,12229.0,-0.004923038434511862,0.002355321676508761,-2.0901766767625425,0.07477697278974912,-0.005307226398150165,0.008561817869937443,-0.6198714430477534,Hilltop Park
NYC14,1,94823,272301.0,3430.0,2973.8211659227504,17501.0,796.0,817.8564636108584,275093.0,186677.0,0.0015072901430892224,0.0003002264024497529,5.020511623195727,0.07547984207234441,-0.0012488694137968367,0.0016340889015475572,-0.764260385474805,Polo Grounds V
NYC14,2,94823,274124.0,7936.0,7185.9814283032465,46769.0,1067.0,1136.6408815812795,275093.0,186677.0,0.001741661648494451,0.00046094614068282693,3.7784493561751575,0.07547984207234441,-0.0014890393547281205,0.0007208643563792253,-2.065630435949563,Polo Grounds V
NYC14,3,94823,273315.0,79977.0,74618.34978649618,86820.0,982.0,1033.942293990845,275093.0,186677.0,0.004978822978960018,0.001148711500643798,4.3342675477433845,0.07547984207234441,-0.00059827567370243,0.00037036366140691276,-1.615373580198825,Polo Grounds V
NYC14,4,94823,272911.0,18725.0,17391.09865364902,46835.0,1716.0,1835.0452982202046,275093.0,186677.0,0.0016188238769385827,0.0006949344024246505,2.329462854753556,0.07547984207234441,-0.002541802033099276,0.0009146456433632346,-2.77900195725291,Polo Grounds V
NYC14,5,94823,273372.0,8773.0,8084.61500182949,26827.0,1633.0,1628.0760538324828,275093.0,186677.0,0.0011209712035296082,0.0004876077709817071,2.2989198906177033,0.07547984207234441,0.0001835444204539164,0.0015040602547726546,0.12203262460496302,Polo Grounds V
NYC14,6,94823,273529.0,15358.0,14605.5118967949,45894.0,2569.0,2648.22395235476,275093.0,186677.0,-0.0006244461474702312,0.0006424567918477067,-0.9719659833843817,0.07547984207234441,-0.0017262376858578476,0.0011212990219621115,-1.539498075042624,Polo Grounds V
NYC14,7,94823,272707.0,16025.0,16117.923335849404,15822.0,532.0,522.7302728638731,275093.0,186677.0,-0.005670291687249432,0.0006717108062432012,-8.441566868579502,0.07547984207234441,0.0005858758144436166,0.001445031937772647,0.4054414294445823,Polo Grounds V
NYC14,8,94823,272520.0,19917.0,19683.02816441085,19671.0,597.0,617.4445336993886,275093.0,186677.0,-0.005050083489714044,0.0007339130271619408,-6.8810380832764855,0.07547984207234441,-0.0010393235574901406,0.0012632012206821252,-0.8227695955905654,Polo Grounds V
NYC14,9,94823,271029.0,15223.0,14302.826620544503,14875.0,500.0,555.4448931690099,275093.0,186677.0,0.00037725147342181076,0.0006363645278626073,0.5928229134469611,0.07547984207234441,-0.0037273877760678926,0.0015843951878265759,-2.352561914291729,Polo Grounds V
NYC15,1,87075,211972.0,2614.0,2366.5862068864812,13562.0,576.0,598.8787114272852,214447.0,149066.0,0.0007211889388409332,0.00033528971303743596,2.150942634975534,0.07735023089621162,-0.0016869717908335957,0.0018044535110772414,-0.9348934624680298,Ebbets Field
NYC15,2,87075,213599.0,6304.0,5778.193220313801,38117.0,856.0,829.2008604134717,214447.0,149066.0,0.001232220114466713,0.000517362860621639,2.381732838314167,0.07735023089621162,0.0007030757821058406,0.0007554594530464922,0.9306598511284657,Ebbets Field
NYC15,3,87075,212746.0,61255.0,58056.49126176935,66525.0,763.0,751.7210219799908,214447.0,149066.0,-0.0016973430853002291,0.0012806401641800261,-1.3253864221781702,0.07735023089621162,0.00016954495332595509,0.00041213876420803853,0.41137832218173137,Ebbets Field
