bat_id,meso,conv,meso_rt,pa,diff,name,hand_delta,meso_hand
bassk001,-4.429518416070916,-2.87346041982505,-3.7634950445246926,5291,-1.5560579962458663,Kevin Charles Bass,-0.42361550542460147,-4.853133921495518
batej102,-2.3100625693158245,-1.1024209075648872,-2.432082581941732,3585,-1.2076416617509373,John Alvin Bateman,-0.05758226180917143,-2.367644831124996
batit001,-1.3954219036345694,-0.2677244822000266,-1.0472077956599664,4959,-1.1276974214345428,Leocadio Francisco Batista,-0.2611646814631983,-1.6565865850977677
batte101,1.4546709562190274,1.742109094273477,0.7280036204837722,4104,-0.2874381380544495,Earl Jesse Battey,0.8941630765082419,2.3488340327272694
baueh101,-1.643138473032417,-3.4182813616349517,-2.8000980586434134,5777,1.7751428886025347,Henry Albert Bauer,-1.8952083413580323,-3.538346814390449
baumf101,-1.6356040019128093,0.6643132162564557,-0.05838485216216461,3810,-2.299917218169265,Frank Conrad Baumholtz,-1.040931559536549,-2.6765355614493584
bautj002,1.0460095184885045,0.43279433996172817,2.1600304059269777,7244,0.6132151785267763,Jose Antonio Bautista,-0.43987608720913884,0.6061334312793657
bay-j001,-0.6096149591282217,-0.7590645226994075,1.2933487939937454,5258,0.14944956357118577,Jason Raymond Bay,-0.8772825788006222,-1.486897537928844
bayld001,-2.279809460329046,-1.6996547210065007,-2.9271652737788325,9401,-0.5801547393225455,Don Edward Baylor,0.18545302562634455,-2.0943564347027017
beckg001,-0.2934678508325521,1.8105348305521074,0.3830221372136324,3782,-2.1040026813846593,James Gordon Beckham,0.7193619393479924,0.4258940885154403
beckg101,7.071823059531563,5.663906066840663,6.9316319885922235,5572,1.4079169926909003,Glenn Alfred Beckert,0.8513835229325225,7.923206582464085
belam101,-2.6247866059929064,-2.5772707789852842,-3.2790666278856198,6601,-0.047515827007622136,Mark Henry Belanger,-0.10346924001585286,-2.7282558460087594
bellb001,0.3725865745232761,0.2376521126073422,0.4201387735165626,10009,0.1349344619159339,David Gus Bell,0.5566646589699236,0.9292512334931997
bellb102,3.1974766465488567,2.589949809708137,1.1045804006618056,3023,0.6075268368407198,Roy Chester Bell,-2.3903746740772367,0.80710197247162
bellc002,-0.4287545873891623,-2.1604467259419367,-1.9116273988993673,4761,1.7316921385527744,Cody James Bellinger,-0.8787120491341511,-1.3074666365233134
belld001,-3.6446367182721637,-2.0957244075980372,-3.7575467963731004,5068,-1.5489123106741265,Derek Nathaniel Bell,0.6614858445565248,-2.9831508737156387
belld002,-1.3903565606581427,-0.8537074597351798,-1.4332861279595732,5380,-0.5366491009229629,David Michael Bell,-0.4171839886153445,-1.8075405492734873
bellg001,2.6917173972509816,0.7398433403929094,0.27676047700842993,6592,1.9518740568580721,George Antonio (Mathey) Bell,0.49702485589004664,3.188742253141028
bellg103,3.4546166644704637,3.0634145120960286,4.5188138954986465,7070,0.3912021523744351,David Russell Bell,-0.7186342380898186,2.735982426380645
bellj001,2.393482249392319,0.385654180673909,1.1717807810922032,8525,2.00782806871841,Jay Stuart Bell,0.070447020369796,2.463929269762115
bellj002,-0.9470875075173225,-0.991637275713143,-1.7766725540671924,6676,0.04454976819582046,Albert Jojuan Belle,-0.1348555395520607,-1.0819430470693832
bellj005,-0.20259224828663977,-0.5628996036536611,-0.1993809375427433,5159,0.3603073553670213,Joshua Evan Bell,0.7988989210396921,0.5963066727530523
belll101,2.547746011103975,-0.6279987789046031,1.623868469708617,3628,3.1757447900085785,Lester Rowland Bell,-1.0788951784197394,1.4688508326842358
bellr002,-0.42950813876951244,-0.04448877047984986,-1.0687898343412787,5641,-0.3850193682896626,Ronald Belliard,-0.19403037157917524,-0.6235385103486877
belta001,-1.35068766265021,-0.01427616244350404,-0.2615193950616329,12126,-1.336411500206706,Adrian (Perez) Beltre,0.23401966834282956,-1.1166679943073805
beltb001,-1.7647540216302182,-2.881915177895631,-1.6320979755441585,5483,1.1171611562654127,Brandon Kyle Belt,-1.3131390679755162,-3.0778930896057344
beltc001,-1.1273425692346672,0.6894751902322177,0.5696895613310147,11031,-1.8168177594668848,Carlos Ivan Beltran,0.1952508388507761,-0.9320917303838911
bencj101,0.23249892404569036,0.3032587393327608,1.623344572371578,8674,-0.07075981528707045,Johnny Lee Bench,-0.6057115125709996,-0.37321258852530925
beneb001,4.011726507640662,4.562855226392957,3.414644539323713,3295,-0.5511287187522944,Bruce Edwin Benedict,-0.15248569188879227,3.85924081575187
benia002,1.4619494645642284,2.3343016973913664,1.3662147987608928,4776,-0.872352232827138,Andrew Sebastian Benintendi,-1.582060935099851,-0.12011147053562254
benij001,0.10688163677072939,0.6925524514564312,-0.3216085804167287,5151,-0.5856708146857018,Juan Jose (Torres) Beniquez,0.609428730561527,0.7163103673322564
