pit_id,meso,conv,meso_rt,pa,diff,name
bumgm001,-1.0546374451446034,-2.8140354679510957,-1.8015022754022023,9098,1.7593980228064923,Madison Kyle Bumgarner
bundd001,1.7296094452364599,0.8880210331043807,3.2932897200884845,3887,0.8415884121320791,Dylan Matthew Bundy
bunkw101,-0.559913703404734,-0.8447871232410754,0.1392416072725975,4472,0.2848734198363414,Wallace Edward Bunker
bunnj101,1.0424204718483132,0.7719508273940393,0.9431928695116546,15615,0.2704696444542739,James Paul David Bunning
burbd001,0.20417086423448386,0.5625312477908944,1.836146470200121,7749,-0.35836038355641053,David Allen Burba
burdl101,-7.704097526480288,-4.416030454281619,-5.266505105801585,12708,-3.288067072198669,Selva Lewis Burdette
burgt001,3.545425654920969,1.7647933884692169,4.061532629336087,5270,1.780632266451752,Thomas Henry Burgmeier
burkb102,-2.8663921708097093,-1.7126613964060666,-1.2756754802870367,4005,-1.1537307744036427,Robert James Burke
burkj001,0.9556053148950071,-0.2588962166048551,0.6877427242404639,11324,1.2145015314998622,John David Burkett
burna001,-0.6407591774002676,-0.9360708140333888,-2.112934877272621,11665,0.2953116366331212,Allan James Burnett
burnb001,-2.072699117595094,1.0097340501343326,-2.6827511014724075,4619,-3.0824331677294268,Robert Britt Burns
burnc002,1.3502118402308383,-0.2298844728170213,-1.0360173599651352,3914,1.5800963130478596,Corbin Brian Burnes
burrr001,2.936751238375616,2.7359858063079185,3.609352672317835,9441,0.20076543206769726,Bertram Ray Burris
busbs101,-0.037073765756924386,1.8664115378972497,2.379276304767344,4505,-1.9034853036541741,Steven Lee Busby
bushd001,0.941852902998466,0.22078905712997338,0.8023782936803348,4899,0.7210638458684926,David Thomas Bush
bushg101,-0.6725610641116712,-1.255753813073101,-0.4894482869001195,11738,0.5831927489614298,Guy Terrell Bush
bushj102,-0.9159094738322229,-0.524301779857963,-1.5222794627405436,13164,-0.3916076939742599,Leslie Ambrose Bush
butcj001,2.7588157121935875,1.516543736419907,0.12908628247090473,3577,1.2422719757736804,John Daniel Butcher
butcm101,-0.18487053300611675,1.7582767683784073,0.1319457241566776,7754,-1.943147301384524,Albert Maxwell Butcher
buzhj101,-2.097061692249084,-2.1207980617855617,-3.8972565115430586,6240,0.02373636953647784,John William Buzhardt
byrdh101,0.9647695276844047,1.4862716045267925,1.2070008543345971,3677,-0.5215020768423878,Harry Gladwin Byrd
byrdp001,-1.302028524477473,0.7371736807826588,0.12131501845468555,7266,-2.039202205260132,Paul Gregory Byrd
byrnt101,-2.3795577584579193,-1.260045140483107,-2.6835181546122624,6178,-1.1195126179748123,Thomas Joseph Byrne
cabrd001,0.5445274238915363,0.30728187586805755,1.7586451675265962,4041,0.23724554802347875,Daniel Alberto (Cruz) Cabrera
cadag001,-2.4651609580443172,-0.7534141645129651,-0.7875890679527201,3206,-1.7117467935313522,Gregory James Cadaret
cadol101,-0.22190592708653079,0.5023317394315474,0.6062018470865201,5205,-0.7242376665180782,Leon Joseph Cadore
cahit001,-1.1559592278041202,-0.025426094216046125,-1.4652106317344102,6460,-1.1305331335880742,Trevor John Cahill
