park_id,season,effect,n_pa,component,n_components
CHI11,1936,0.001611397131424967,5819,0,2
CIN07,1936,-0.005495288889137811,5796,0,2
NYC14,1936,-0.006796092563254818,5720,0,2
NYC15,1936,0.0029941031680556372,6064,0,2
PHI09,1936,0.025380645217543178,5927,0,2
PIT06,1936,0.0007598947046487566,5684,0,2
BOS07,1936,-0.012288338436298875,5926,1,2
CHI10,1936,-0.0035672008388750614,6066,1,2
CLE06,1936,0.021321122901817147,6098,1,2
CLE07,1936,-0.07837648360500724,130,1,2
DET04,1936,0.0018598856353148497,6010,1,2
NYC16,1936,-0.010878982751219735,6014,1,2
PHI11,1936,-0.0028318869313568957,5770,1,2
STL07,1936,0.009029617279673966,12074,1,2
WAS09,1936,-0.010914001465577782,5846,1,2
BOS07,1937,0.006702714422805627,5686,0,2
CHI10,1937,0.0006830768353947949,5661,0,2
CLE06,1937,0.007837075430463785,4708,0,2
CLE07,1937,-0.027005189258361043,910,0,2
DET04,1937,0.018805318276349497,6017,0,2
NYC16,1937,-0.0013851327393571463,5865,0,2
PHI11,1937,-0.011281508670345422,5941,0,2
WAS09,1937,-0.014880721363324327,6203,0,2
BOS08,1937,-0.04153694424749305,5518,1,2
CHI11,1937,0.007849004516042075,5952,1,2
CIN07,1937,-0.023361760528961627,5849,1,2
NYC14,1937,-0.009649430412719585,5555,1,2
NYC15,1937,0.00016975651900412886,5721,1,2
PHI09,1937,0.037291840633776545,5777,1,2
PIT06,1937,-0.0011837386830327874,5893,1,2
STL07,1937,0.01360029469703511,12007,1,2
BOS08,1938,-0.034478798396528385,5413,0,2
CHI11,1938,-0.0004661409137273701,5828,0,2
CIN07,1938,-0.0046779487228591965,5775,0,2
NYC14,1938,0.004527723553955538,5457,0,2
NYC15,1938,0.00967498215803185,5458,0,2
PHI09,1938,0.04083304397434626,2229,0,2
PHI11,1938,0.0030314788456219173,9473,0,2
PIT06,1938,0.0031474587856858134,6074,0,2
BOS07,1938,0.00699672641895461,5651,1,2
CHI10,1938,-0.00480597229923031,5558,1,2
CLE06,1938,0.003969226557912473,4523,1,2
CLE07,1938,-0.028826867718729183,1326,1,2
DET04,1938,-0.004778899392994763,6050,1,2
NYC16,1938,-0.0032428647481828805,6055,1,2
STL07,1938,0.011030215393857574,12278,1,2
WAS09,1938,-0.01272203544341949,6244,1,2
BOS08,1939,-0.022409710964012678,5433,0,2
CHI11,1939,-0.009474613652298751,5952,0,2
CIN07,1939,-0.0005781608679796265,5933,0,2
NYC14,1939,0.008257074033984707,5384,0,2
NYC15,1939,0.010233784814184715,5823,0,2
PHI11,1939,0.00455823992622102,11522,0,2
PIT06,1939,0.004286532834041187,5834,0,2
BOS07,1939,0.009915308007992394,5967,1,2
CHI10,1939,0.003195841194121003,5890,1,2
CLE06,1939,0.005877385762982327,3555,1,2
CLE07,1939,-0.024362157941412936,2278,1,2
DET04,1939,0.005386776097543118,6067,1,2
NYC16,1939,-0.021873745655120513,5677,1,2
STL07,1939,0.01448574337359123,12335,1,2
WAS09,1939,-0.022648953881500365,5765,1,2
BOS08,1940,0.0026970275835997187,5652,0,2
CHI11,1940,-0.0009127990432638766,5809,0,2
CIN07,1940,-0.008310692157585632,5543,0,2
NYC14,1940,0.0053793931266790575,5672,0,2
NYC15,1940,-0.006040870911551095,6073,0,2
PHI11,1940,-0.0009751710600548313,10534,0,2
PIT06,1940,0.009234456270376811,5693,0,2
BOS07,1940,0.011925064410283272,6340,1,2
CHI10,1940,-0.005398038687681609,5949,1,2
CLE06,1940,0.019953637056240647,2497,1,2
CLE07,1940,-0.05375874320560017,3501,1,2
DET04,1940,0.01092991213662663,6216,1,2
NYC16,1940,-0.015787620587564805,5764,1,2
STL07,1940,0.014159449642114474,11811,1,2
WAS09,1940,-0.008347662004127121,5904,1,2
BOS07,1941,0.01812707541771362,6027,0,2
CHI10,1941,-0.024750019207712855,5902,0,2
CLE06,1941,0.0042510116989444065,3423,0,2
CLE07,1941,-0.02118127674173121,2362,0,2
DET04,1941,0.0034641723295702905,5927,0,2
NYC16,1941,-0.00890670193468609,5438,0,2
PHI11,1941,0.011266442654830924,11619,0,2
WAS09,1941,-0.005231869298428246,5868,0,2
BOS08,1941,-0.009687844247845911,5755,1,2
