season,date,gamenum,runs,druns,out,station
1971,19710425,0,12,2.3630563995951825,-1.6373837104359268,midway
1971,19710428,0,5,-2.512876507537147,6.599859255625004,midway
1971,19710429,0,13,4.864044579016637,-4.0607349807421365,midway
1971,19710430,0,1,-4.176718593359982,2.862530271413699,midway
1971,19710501,0,11,6.609123738674629,0.2950537114168733,midway
1971,19710502,0,8,2.30147099040646,-5.259722923022767,midway
1971,19710514,0,5,-1.1044260874622316,-4.7213033783767955,midway
1971,19710515,0,10,4.8956864136482885,5.6720729558425536,midway
1971,19710516,1,17,10.249676751982397,-5.55849860821228,midway
1971,19710516,2,10,-3.6098557885779163,-5.55849860821228,midway
1971,19710518,0,10,-1.6658752172447844,3.115597559480874,midway
1971,19710519,0,14,8.725301954724964,8.091946405460893,midway
1971,19710520,0,15,7.006433715765039,5.861478272479724,midway
1971,19710521,0,9,0.8819912005711469,-5.827942176476407,midway
1971,19710522,0,7,1.109716209058027,-5.092755288768147,midway
1971,19710523,0,7,6.158034782721323,3.714789784616238,midway
1971,19710607,0,17,9.105475425342293,6.87094296331892,midway
1971,19710608,0,1,-8.640678511121314,-6.68887968775833,midway
1971,19710609,0,4,-2.4482798199068228,-5.177062555172934,midway
1971,19710611,0,7,1.5112456872760447,2.8851949331520936,midway
1971,19710612,0,7,-0.15557185003494145,4.872112674824954,midway
1971,19710613,0,7,-6.262327515057303,-1.3549552323683403,midway
1971,19710614,0,5,-2.5259260340504617,-4.508948470122914,midway
1971,19710615,0,4,-9.822773032038015,-4.6030083731485885,midway
1971,19710616,0,11,1.4957156006176129,-3.8417044489504972,midway
1971,19710617,0,13,6.998392203671779,3.190054020929117,midway
1971,19710618,0,20,15.578881071187567,4.526144182471054,midway
1971,19710619,0,8,-1.6755935032857123,-2.8503794533738387,midway
1971,19710620,0,9,4.671557860069706,6.0565959572581525,midway
1971,19710628,0,10,3.2546894828381103,4.354343640378921,midway
1971,19710629,0,5,-2.7042337342533074,4.684267863633778,midway
1971,19710630,0,15,5.293159946645167,4.001318002358886,midway
1971,19710702,0,6,1.0513466182751254,-5.029189439631283,midway
1971,19710703,0,4,-4.572957452940444,1.5122932982514175,midway
1971,19710704,0,16,4.456030606661382,4.730215124121797,midway
1971,19710705,0,8,-1.4160965336520386,-1.6995887018908626,midway
1971,19710715,0,13,3.0514970706414197,2.9496317617276757,midway
1971,19710716,0,13,4.071151469752785,7.491384129649927,midway
1971,19710717,0,7,-2.1632142491021,-4.103827266211839,midway
1971,19710718,0,12,3.8508470610065912,2.412857005232698,midway
1971,19710719,0,8,-4.127944920845453,-5.963623798501538,midway
1971,19710720,0,6,2.230729539841261,-0.3407201869353717,midway
1971,19710721,0,18,17.643069596872742,6.435889535432878,midway
1971,19710722,0,6,0.8793404567011114,6.420445216406375,midway
1971,19710804,0,3,0.07355939477148932,-5.475583548433772,midway
1971,19710805,0,3,-10.559909627663988,-5.091275508405138,midway
1971,19710807,0,11,2.323152735268221,1.4488976151791177,midway
1971,19710808,1,6,-8.839394120450452,3.1600930561284875,midway
1971,19710808,2,8,-0.8513221518256026,3.1600930561284875,midway
1971,19710820,1,5,-5.310916635957998,5.308820596218073,midway
1971,19710820,2,9,2.407467714486763,5.308820596218073,midway
1971,19710821,0,3,-7.580076357351756,5.7710022899958755,midway
