candidate,gain,mean_pre,mean_post,series,case
1966,0.1682172674655229,-0.004496554446574262,-0.003648406867118862,shrunk,Comiskey Sox Sod (screen found nothing)
1967,0.4549561045826511,-0.0046557245472810295,-0.0032449308717046794,shrunk,Comiskey Sox Sod (screen found nothing)
1968,0.849086248976449,-0.004793782988369346,-0.0028416389933558833,shrunk,Comiskey Sox Sod (screen found nothing)
1969,0.8548253541889541,-0.004780196348211725,-0.002797767140313003,shrunk,Comiskey Sox Sod (screen found nothing)
1970,0.5982411989758618,-0.004677783713698509,-0.0029985338976960996,shrunk,Comiskey Sox Sod (screen found nothing)
1971,0.2852611045338098,-0.004528274665708281,-0.003348674385376997,shrunk,Comiskey Sox Sod (screen found nothing)
1972,0.2546858248494288,-0.004502146143824178,-0.0033676691067194746,shrunk,Comiskey Sox Sod (screen found nothing)
1973,0.1254448709788336,-0.004414544816577873,-0.003603888647839034,shrunk,Comiskey Sox Sod (screen found nothing)
1974,0.06908225533992329,-0.004361713932402314,-0.0037471488525705823,shrunk,Comiskey Sox Sod (screen found nothing)
1975,0.017407005317703117,-0.004293433562118044,-0.003977846435722926,shrunk,Comiskey Sox Sod (screen found nothing)
1976,5.1256867319438015e-06,-0.00422864987500652,-0.004234206369606813,shrunk,Comiskey Sox Sod (screen found nothing)
1977,0.010275579126154732,-0.004184788026538062,-0.00444068763859774,shrunk,Comiskey Sox Sod (screen found nothing)
1978,0.03011729512657091,-0.004156375532581867,-0.004608469751435101,shrunk,Comiskey Sox Sod (screen found nothing)
1979,0.06771340942711224,-0.004124975205755811,-0.004825953860512836,shrunk,Comiskey Sox Sod (screen found nothing)
1980,0.0825466243057773,-0.004119717815076024,-0.004921822319974401,shrunk,Comiskey Sox Sod (screen found nothing)
1915,11.357512014007241,-0.005289242063090316,0.007609876911143206,raw,Sportsman's mid-1920s (screen said 1919)
1916,13.972498664465846,-0.005501562412240377,0.00776916235817321,raw,Sportsman's mid-1920s (screen said 1919)
1917,15.064315273053154,-0.005002042306516239,0.007882996412570448,raw,Sportsman's mid-1920s (screen said 1919)
1918,16.337191457326853,-0.004645768121262243,0.00800523251902294,raw,Sportsman's mid-1920s (screen said 1919)
1919,19.792528031138445,-0.005274408417447747,0.00817727316628607,raw,Sportsman's mid-1920s (screen said 1919)
1920,19.52580972725675,-0.004556366949994293,0.008241921571482643,raw,Sportsman's mid-1920s (screen said 1919)
1921,11.649404421645634,-0.001223630373708883,0.00802302297451988,raw,Sportsman's mid-1920s (screen said 1919)
1922,13.310542961383085,-0.001003854625591512,0.008228139053417847,raw,Sportsman's mid-1920s (screen said 1919)
1923,8.734381135762348,0.0009953584687517256,0.0080630145380253,raw,Sportsman's mid-1920s (screen said 1919)
1924,17.218441736298956,-0.0007842064360910817,0.008684693068005343,raw,Sportsman's mid-1920s (screen said 1919)
1925,15.058371340625264,0.000185610550320871,0.008688094510945096,raw,Sportsman's mid-1920s (screen said 1919)
1926,12.232713857073136,0.0012194428632540148,0.00861736598918601,raw,Sportsman's mid-1920s (screen said 1919)
1927,12.239383441461847,0.0015544087288438242,0.00873034611229783,raw,Sportsman's mid-1920s (screen said 1919)
1928,9.283713069752459,0.0024970279168765102,0.008585104245806666,raw,Sportsman's mid-1920s (screen said 1919)
1929,8.683203228887699,0.002857332813372078,0.008619429207344445,raw,Sportsman's mid-1920s (screen said 1919)
1930,12.403345963966885,0.002314734847468931,0.00907548129685191,raw,Sportsman's mid-1920s (screen said 1919)
1915,11.275086114227285,-0.005274408417447699,0.0075778183513561794,shrunk,Sportsman's mid-1920s (screen said 1919)
1916,13.398239218460299,-0.005274408417447699,0.007720746692322783,shrunk,Sportsman's mid-1920s (screen said 1919)
1917,15.6886705598967,-0.005274408417447699,0.007874936020957039,shrunk,Sportsman's mid-1920s (screen said 1919)
1918,18.08543257021869,-0.0052744084174477,0.008036283413730609,shrunk,Sportsman's mid-1920s (screen said 1919)
1919,19.6970019399483,-0.0052744084174477,0.00814477249815359,shrunk,Sportsman's mid-1920s (screen said 1919)
1920,17.768370439793518,-0.004060322528325196,0.008148426609742087,shrunk,Sportsman's mid-1920s (screen said 1919)
1921,14.383391810718217,-0.002150216357012924,0.008124346910100352,shrunk,Sportsman's mid-1920s (screen said 1919)
1922,12.381446252689072,-0.0007541484944741309,0.008149813571399588,shrunk,Sportsman's mid-1920s (screen said 1919)
1923,10.137749093545036,0.0005133918976040408,0.00812769405932827,shrunk,Sportsman's mid-1920s (screen said 1919)
1924,9.81520759271709,0.0010563369199627216,0.008205452679954596,shrunk,Sportsman's mid-1920s (screen said 1919)
1925,8.544477971776013,0.0018001169501222285,0.008204828678666213,shrunk,Sportsman's mid-1920s (screen said 1919)
1926,7.395353276200507,0.0024423477496815656,0.008194466829067167,shrunk,Sportsman's mid-1920s (screen said 1919)
